ID,Binomial,Reference,Class,Order,Family,Genus,Species,Subspecies,Authority,Common_name,Location,Country,All_countries,Region,Latitude,Longitude,Specific_location,System,T_realm,T_biome,FW_realm,FW_biome,M_realm,M_ocean,M_biome,Units,Method,X1950,X1951,X1952,X1953,X1954,X1955,X1956,X1957,X1958,X1959,X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015
623,Saiga_tatarica,"{Bekenov, 1998 #45} update with {Milner-Gulland, 2001 #1377}",Mammalia,Artiodactyla,Bovidae,Saiga,tatarica,NULL,"Linnaeus, 1766",Saiga antelope,"Betpak-dala, Central Kazakhstan",Kazakhstan,Kazakhstan,Asia,46.03333,70.2,0,Terrestrial,Palearctic,Deserts and xeric shrublands,NULL,NULL,NULL,NULL,NULL,Number of individuals,Aerial survey - census,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,412000,581000,NULL,519000,NULL,NULL,995000,850000,NULL,956000,NULL,480000,484000,280000,290000,400000,470000,480000,440000,340000,400000,250000,300000,368000,323000,361000,357000,375000,510000,282000,212000,248000,NULL,12000,64000,15000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
624,Saiga_tatarica,"{Bekenov, 1998 #45} update with {Milner-Gulland, 2001 #1377}",Mammalia,Artiodactyla,Bovidae,Saiga,tatarica,,"Linnaeus, 1766",Saiga antelope,"Ustiurt, Kazakhstan",Kazakhstan,Kazakhstan,Asia,45.83333,58,0,Terrestrial,Palearctic,Deserts and xeric shrublands,NULL,NULL,NULL,NULL,NULL,Number of individuals,Aerial count - census,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,64000,NULL,NULL,34000,NULL,NULL,56000,NULL,NULL,199000,NULL,117000,NULL,NULL,120000,170000,190000,190000,180000,190000,190000,150000,140000,207000,265000,202000,232000,254000,216000,254000,NULL,214000,NULL,246000,200000,116000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
625,Saiga_tatarica,"{Bekenov, 1998 #45} update with {Milner-Gulland, 2001 #1377}",Mammalia,Artiodactyla,Bovidae,Saiga,tatarica,,"Linnaeus, 1766",Saiga antelope,"Ural, Kazakhstan",Kazakhstan,Kazakhstan,Asia,47,49.8,0,Terrestrial,Palearctic,Deserts and xeric shrublands,NULL,NULL,NULL,NULL,NULL,Number of individuals,Aerial count - census,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50000,NULL,NULL,70000,NULL,NULL,116000,120000,100000,120000,160000,180000,150000,40000,50000,70000,100000,90000,135000,138000,236000,298000,250000,274000,NULL,NULL,NULL,104000,84000,17500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4918,Saiga_tatarica,"{Milner-Gulland, 2001 #1377}",Mammalia,Artiodactyla,Bovidae,Saiga,tatarica,NULL,"Linnaeus, 1766",Saiga antelope,"Kalmykia, Kazakhstan",Kazakhstan,Kazakhstan,Asia,46.03333,70.2,0,Terrestrial,Palearctic,Deserts and xeric shrublands,NULL,NULL,NULL,NULL,NULL,Number of individuals,Aerial survey - census,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,380000,430000,285000,280000,265000,222000,200000,143000,157000,150000,160000,168000,152000,148000,142000,220000,196000,259000,150000,55000,26000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
